date,copper,coal,oil
2010-11-01,8458.42045454545,112.583766233766,85.8009090909091
2010-12-01,9152.85714285714,123.785714285714,91.96
2011-01-01,9533.2,140.993571428571,96.952380952381
2011-02-01,9880.9375,134.624464285714,104.2385
2011-03-01,9503.35869565217,135.971273291925,114.917391304348
2011-04-01,9482.75,131.525595238095,123.325714285714
2011-05-01,8931.675,127.962857142857,114.929545454545
2011-06-01,9066.85227272727,128.362012987013,114.370454545455
2011-07-01,9650.46428571429,128.989285714286,117.483333333333
2011-08-01,8997.98863636364,127.462012987013,110.354782608696
2011-09-01,8300.13636363636,130.561850649351,111.962727272727
2011-10-01,7394.19047619048,127.912755102041,110.429523809524
2011-11-01,7581.02272727273,122.745292207792,111.158636363636
2011-12-01,7558.875,118.176428571428,108.347727272727
2012-01-01,8061.91666666667,123.085714285714,111.415
2012-02-01,8441.4880952381,124.966836734694,119.165714285714
2012-03-01,8470.78409090909,114.150974025974,124.703181818182
2012-04-01,8285.52631578947,110.353759398496,120.47
2012-05-01,7896.90909090909,103.81948051948,110.822173913043
2012-06-01,7428.28947368421,92.7546992481201,95.8890476190476
2012-07-01,7584.26136363636,91.3641233766233,102.979545454545
2012-08-01,7510.43181818182,93.456331168831,113.780434782609
2012-09-01,8087.7425,93.181607142857,113.6415
2012-10-01,8062.03260869565,86.885403726708,111.792608695652
2012-11-01,7711.22727272727,87.2196428571427,109.911818181818
2012-12-01,7966.48684210526,96.0761278195487,109.569047619048
2013-01-01,8053.73863636364,96.9521103896102,112.527826086957
2013-02-01,8060.925,100.347321428571,116.488
2013-03-01,7652.375,97.3167857142855,109.585714285714
2013-04-01,7221.1619047619,93.233163265306,102.96
2013-05-01,7248.71428571429,93.1260204081631,102.980434782609
2013-06-01,7000.2375,89.6426785714284,103.3585
2013-07-01,6906.64130434783,82.222360248447,107.779565217391
2013-08-01,7186.25,82.2214285714284,111.058181818182
2013-09-01,7159.26904761905,83.2959183673468,111.962857142857
2013-10-01,7203.02173913043,85.4436335403726,109.618695652174
2013-11-01,7070.65476190476,88.3632653061223,108.150476190476
2013-12-01,7214.9,89.4444642857142,111.070454545455
2014-01-01,7291.46590909091,87.9735389610388,107.926956521739
2014-02-01,7149.2125,83.0276785714285,108.838
2014-03-01,6650.03571428571,79.7530612244897,107.868095238095
2014-04-01,6673.5625,78.5207142857142,108.003636363636
2014-05-01,6891.125,78.8346428571427,109.832272727273
2014-06-01,6821.14285714286,77.348469387755,112.240952380952
2014-07-01,7113.38043478261,74.0380434782607,107.462608695652
2014-08-01,7001.8375,74.2483928571428,102.401904761905
2014-09-01,6872.21590909091,71.5256493506492,97.8527272727273
2014-10-01,6737.47826086957,68.9846273291924,87.5847826086957
2014-11-01,6712.85,67.3307142857142,79.2295
2014-12-01,6446.45238095238,67.1622448979591,62.9039130434783
2015-01-01,5830.53571428571,64.7163265306122,48.9331818181818
2015-02-01,5729.275,70.659107142857,58.254
2015-03-01,5939.67045454545,68.3449675324675,56.5245454545454
2015-04-01,6042.0875,61.1978571428571,59.8263636363636
2015-05-01,6294.77631578947,65.6712406015037,65.1938095238095
2015-06-01,5833.01136363636,63.1047077922077,62.62
2015-07-01,5456.75,64.4832298136645,56.8295652173913
2015-08-01,5127.3,63.3932142857142,47.5338095238095
2015-09-01,5217.25,61.7654220779219,48.0304545454545
2015-10-01,5216.09090909091,57.3306818181817,48.9063636363636
2015-11-01,4799.90476190476,55.7780612244897,45.0952380952381
2015-12-01,4638.83333333333,55.8658163265305,38.5252173913043
2016-01-01,4471.7875,53.4289285714285,32.0452380952381
2016-02-01,4598.61904761905,53.7816326530611,33.762380952381
2016-03-01,4953.79761904762,55.4352040816325,39.7921739130435
2016-04-01,4872.7380952381,54.6586734693876,43.3304761904762
2016-05-01,4694.5375,54.5271428571427,47.735
2016-06-01,4641.96590909091,56.2285714285713,49.8772727272727
2016-07-01,4864.90476190476,64.4183673469387,46.5985714285714
2016-08-01,4751.67045454545,71.3269480519479,47.0521739130435
2016-09-01,4722.20454545455,76.3738636363635,47.3768181818182
2016-10-01,4731.2619047619,96.2397959183672,51.4138095238095
2016-11-01,5450.93181818182,111.428084415584,46.9422727272727
2016-12-01,5660.35,93.1344642857141,55.0227272727273
2017-01-01,5754.55952380952,91.4244897959182,55.7109090909091
2017-02-01,5940.9125,85.9692857142856,56.096
2017-03-01,5824.63043478261,86.3338509316768,52.6552173913044
2017-04-01,5683.90277777778,90.1107142857141,53.978
2017-05-01,5599.55952380952,80.1183673469386,51.374347826087
2017-06-01,5719.76136363636,85.6733766233764,47.6527272727273
2017-07-01,5985.11904761905,90.7739795918366,49.2533333333333
2017-08-01,6485.625,102.772402597402,51.9278260869565
2017-09-01,6577.16666666667,104.775,55.557619047619
2017-10-01,6807.60227272727,103.249675324675,57.5363636363636
2017-11-01,6826.54545454545,102.487012987013,62.8363636363636
2017-12-01,6833.8947368421,105.968796992481,64.0642857142857
2018-01-01,7065.85227272727,111.93262987013,68.8891304347826
2018-02-01,7006.525,111.477321428571,65.6965
2018-03-01,6799.17857142857,105.72806122449,66.8918181818182
2018-04-01,6851.5125,99.2233928571427,71.9328571428572
2018-05-01,6825.27380952381,109.375,76.934347826087
2018-06-01,6965.85714285714,121.524489795918,75.8028571428572
2018-07-01,6250.75,125.085876623376,75.2290909090909
2018-08-01,6051.04545454545,123.734902597402,73.8513043478261
2018-09-01,6050.7625,122.229107142857,79.163
2018-10-01,6219.58695652174,114.762111801242,80.7834782608696
2018-11-01,6195.92045454545,107.552922077922,66.2286363636364
2018-12-01,6075.31578947368,106.143609022556,57.9480952380952
2019-01-01,5939.10227272727,105.401298701298,59.9447826086956
2019-02-01,6300.4875,101.357142857143,64.384
2019-03-01,6439.46428571429,99.6698979591835,66.9419047619048
2019-04-01,6438.3625,88.7646428571427,71.4759090909091
2019-05-01,6017.90476190476,89.5642857142855,70.3891304347826
2019-06-01,5882.225,77.6298214285713,63.2085
2019-07-01,5941.19565217391,77.8458074534159,64.3221739130435
2019-08-01,5709.44047619048,69.7392857142855,59.6181818181818
2019-09-01,5759.25,66.9586734693876,62.4309523809524
2019-10-01,5757.29782608696,69.1942546583849,59.6313043478261
2019-11-01,5859.95238095238,69.7290816326529,62.6866666666667
2019-12-01,6077.0625,70.4646428571427,65.3481818181818
2020-01-01,6031.20909090909,72.1061688311687,63.8986956521739
2020-02-01,5687.75,71.0501785714284,55.691
2020-03-01,5182.63181818182,70.20487012987,33.9472727272727
2020-04-01,5057.972,64.6199999999999,26.8486363636364
2020-05-01,5239.82631578947,54.1483082706766,32.4223809523809
2020-06-01,5754.59545454546,55.0027597402597,40.8604545454546
2020-07-01,6372.46086956522,51.672204968944,43.295652173913
2020-08-01,6508.39285714286,51.3824999999999,45.0814285714286
2020-09-01,6704.9,52.0056818181817,41.9268181818182
2020-10-01,6713.81136363636,58.0694805194804,41.6068181818182
2020-11-01,7068.90714285714,62.9464285714284,44.05
2020-12-01,7772.2380952381,80.5897959183672,50.3769565217391
2021-01-01,7972.1475,90.995357142857,55.2247619047619
2021-02-01,8470.94,92.4857142857141,62.3625
2021-03-01,8988.24782608696,95.2309006211178,65.7960869565217
2021-04-01,9324.8175,97.8476785714283,65.5318181818182
2021-05-01,10166.285,104.207142857143,68.3752380952381
2021-06-01,9631.5,132.152922077922,73.5127272727273
